resident_id,metric_month,safehouse_id,positive_case_progress_next_month_actual,positive_case_progress_next_month_pred,positive_case_progress_next_month_score
1.0,2023-10-01,,0,0,0.37009030899577494
1.0,2023-10-01,,0,0,0.2985137754757218
1.0,2023-10-01,,0,0,0.13672579412323266
1.0,2023-10-01,,0,0,0.11723293471156707
1.0,2023-10-01,,0,0,0.36223841374652577
1.0,2023-10-01,,0,0,0.2655451576485819
1.0,2023-10-01,,0,0,0.4508853786763296
1.0,2023-10-01,,0,0,0.4299755401108689
1.0,2023-10-01,,0,0,0.3870848294826971
1.0,2023-10-01,,0,0,0.13685680843610626
1.0,2023-10-01,,0,0,0.1450158370164296
1.0,2023-10-01,,0,0,0.17365008192140258
1.0,2023-10-01,,0,0,0.17834689626531708
1.0,2023-10-01,,0,0,0.15044108701516723
1.0,2023-10-01,,0,0,0.290426412243869
1.0,2023-10-01,,0,0,0.13246236774098757
1.0,2023-10-01,,0,0,0.3706398826729846
1.0,2023-10-01,,0,0,0.1363625270183295
1.0,2023-10-01,,0,0,0.14788253592562248
1.0,2023-10-01,,0,0,0.13208391968514954
1.0,2023-10-01,,0,1,0.6300764033911417
1.0,2023-11-01,,0,0,0.09302599934721295
1.0,2023-11-01,,0,0,0.15423424794113866
1.0,2023-11-01,,0,0,0.21590121986744726
1.0,2023-11-01,,0,0,0.2054703961294082
1.0,2023-11-01,,0,0,0.11406434699273274
1.0,2023-11-01,,0,0,0.2974040319286142
1.0,2023-11-01,,0,0,0.22150705661303907
1.0,2023-11-01,,0,0,0.360252291521396
1.0,2023-11-01,,0,0,0.19207402235204138
1.0,2023-11-01,,0,0,0.3429784896897387
1.0,2023-11-01,,0,0,0.15585776686291894
1.0,2023-11-01,,0,0,0.16107030258815733
1.0,2023-11-01,,0,0,0.40776670094663375
1.0,2023-11-01,,0,0,0.4496419294336235
1.0,2023-11-01,,0,0,0.3634605402574566
1.0,2023-11-01,,0,0,0.3945466885714813
1.0,2023-11-01,,0,0,0.20142451096994274
1.0,2023-11-01,,0,0,0.4560847061924354
1.0,2023-11-01,,0,0,0.2791342758252157
1.0,2023-11-01,,0,0,0.4033234512285094
1.0,2023-11-01,,0,0,0.2428836476556829
1.0,2023-11-01,,0,0,0.49834788530864443
1.0,2023-11-01,,1,1,0.8063179343863122
1.0,2023-12-01,,0,1,0.507986649844973
1.0,2023-12-01,,0,0,0.260135992510103
1.0,2023-12-01,,0,0,0.1515832272664221
1.0,2023-12-01,,0,0,0.1520674366038974
1.0,2023-12-01,,0,0,0.1495648418807273
1.0,2023-12-01,,0,0,0.17735072004876987
1.0,2023-12-01,,0,0,0.2163734069881832
1.0,2023-12-01,,0,0,0.19803871708661
1.0,2023-12-01,,0,0,0.41174261997315215
1.0,2023-12-01,,0,0,0.2761187513463707
1.0,2023-12-01,,0,0,0.31449920362059897
1.0,2023-12-01,,0,0,0.14054096347794265
1.0,2023-12-01,,0,0,0.256549195366264
1.0,2023-12-01,,0,0,0.35455095225708794
1.0,2023-12-01,,0,0,0.3648161675181168
1.0,2023-12-01,,0,0,0.27374962201637826
1.0,2023-12-01,,0,0,0.3275437088478008
1.0,2023-12-01,,0,0,0.3237515217218387
1.0,2023-12-01,,0,0,0.1347202154739298
1.0,2023-12-01,,0,0,0.4953382402941476
1.0,2023-12-01,,0,0,0.25909247765193677
1.0,2023-12-01,,0,0,0.4816771543485228
1.0,2023-12-01,,0,1,0.6823302786465377
1.0,2024-01-01,,0,0,0.3842717330366777
1.0,2024-01-01,,0,0,0.46648006405701115
1.0,2024-01-01,,0,0,0.2117362099960069
1.0,2024-01-01,,0,0,0.40795173846669097
1.0,2024-01-01,,0,0,0.4290997581270403
1.0,2024-01-01,,0,0,0.337463217988138
1.0,2024-01-01,,0,0,0.4335060602591933
1.0,2024-01-01,,0,0,0.4406515470101299
1.0,2024-01-01,,0,0,0.4577168336233273
1.0,2024-01-01,,0,0,0.41474626693035876
1.0,2024-01-01,,0,0,0.3700792511171432
1.0,2024-01-01,,0,0,0.3072478295013175
1.0,2024-01-01,,0,0,0.14459817099234126
1.0,2024-01-01,,0,0,0.3817468411518788
